role,subject,eid,lab,qc,offset,true_candidate,usable_trials,correlation,p_value,tjur_r_squared,mean_log_loss_improvement,topology_margin,score,admissible
calibration,SWC_054,671c7ea7-6726-4fbe-adeb-f89c2c8e489b,mrsicflogellab,WARNING,0,True,802,0.702680679428603,2.2155614148628865e-120,0.49036109689953933,0.1420312812986814,0.2063719244093788,1.0,True
calibration,SWC_054,671c7ea7-6726-4fbe-adeb-f89c2c8e489b,mrsicflogellab,WARNING,17,False,802,0.5218361735153745,3.229523195086024e-57,0.2823340720254828,3.282984108197532e-05,-0.20802702487405655,0.0,False
calibration,SWC_054,671c7ea7-6726-4fbe-adeb-f89c2c8e489b,mrsicflogellab,WARNING,43,False,802,0.5229495607360557,1.6994197447002828e-57,0.28398917249016054,0.0007775334329746161,-0.2063719244093788,0.0,False
calibration,SWC_054,671c7ea7-6726-4fbe-adeb-f89c2c8e489b,mrsicflogellab,WARNING,89,False,802,0.521610701550012,3.676883881582719e-57,0.2826097597121268,-9.482278575382679e-05,-0.2077513371874125,0.18888888888888888,False
calibration,UCLA006,19e66dc9-bf9f-430b-9d6a-acfa85de6fb7,churchlandlab_ucla,PASS,0,True,748,0.7262585807850915,1.4869943043397267e-123,0.5025585171005369,0.1330867454405005,0.2149224556999576,1.0,True
calibration,UCLA006,19e66dc9-bf9f-430b-9d6a-acfa85de6fb7,churchlandlab_ucla,PASS,17,False,748,0.5339861340184133,2.2941051927208987e-56,0.287498135824854,-0.0028787954679875085,-0.2150603812756829,0.08823529411764706,False
calibration,UCLA006,19e66dc9-bf9f-430b-9d6a-acfa85de6fb7,churchlandlab_ucla,PASS,43,False,748,0.5368924036481414,4.4820675928499926e-57,0.2876360614005793,-0.0005961594633531372,-0.2149224556999576,0.08823529411764706,False
calibration,UCLA006,19e66dc9-bf9f-430b-9d6a-acfa85de6fb7,churchlandlab_ucla,PASS,89,False,748,0.5314304013944253,9.517819765463418e-56,0.28453874257247636,-0.004564553701036385,-0.21801977452806054,0.08823529411764706,False
calibration,CSHL054,a71175be-d1fd-47a3-aa93-b830ea3634a1,churchlandlab,PASS,0,True,855,0.6285768289602532,3.330816133264376e-95,0.37807502370962937,0.17252890645512053,0.2595402292139592,0.9705882352941176,True
calibration,CSHL054,a71175be-d1fd-47a3-aa93-b830ea3634a1,churchlandlab,PASS,17,False,855,0.3195295698341249,9.536199146717993e-22,0.11103298590949923,-0.0025301009728306103,-0.26704203780013014,0.0,False
